codigo,carrera,division,plt,crr,link_acc_pde
20121,ARQUITECTURA,ARQUITECTURA,0201,102,https://www.dgae-siae.unam.mx/educacion/planes.php?plt=0201&crr=102&acc=pde
20226,DISEÑO GRAFICO,ARTES PLASTICAS,0202,406,https://www.dgae-siae.unam.mx/educacion/planes.php?plt=0202&crr=406&acc=pde
20321,ACTUARIA,ACTUARIA,0203,101,https://www.dgae-siae.unam.mx/educacion/planes.php?plt=0203&crr=101&acc=pde
,CIENCIAS DE LA COMUNICACION (PERIODISMO),CIENCIAS POLITICAS,0204,302,https://www.dgae-siae.unam.mx/educacion/planes.php?plt=0204&crr=302&acc=pde
20422,CIENCIAS POLITICAS Y ADMINISTRACION PUBLICA,CIENCIAS POLITICAS,0204,303,https://www.dgae-siae.unam.mx/educacion/planes.php?plt=0204&crr=303&acc=pde
20421,RELACIONES INTERNACIONALES,CIENCIAS POLITICAS,0204,310,https://www.dgae-siae.unam.mx/educacion/planes.php?plt=0204&crr=310&acc=pde
20423,SOCIOLOGIA,CIENCIAS POLITICAS,0204,311,https://www.dgae-siae.unam.mx/educacion/planes.php?plt=0204&crr=311&acc=pde
20425,COMUNICACION,CIENCIAS POLITICAS,0204,315,https://www.dgae-siae.unam.mx/educacion/planes.php?plt=0204&crr=315&acc=pde
20721,DERECHO,DERECHO,0207,305,https://www.dgae-siae.unam.mx/educacion/planes.php?plt=0207&crr=305&acc=pde
20821,ECONOMIA,ECONOMIA,0208,306,https://www.dgae-siae.unam.mx/educacion/planes.php?plt=0208&crr=306&acc=pde
21011,FILOSOFIA,FILOSOFIA,0210,411,https://www.dgae-siae.unam.mx/educacion/planes.php?plt=0210&crr=411&acc=pde
21021,HISTORIA,FILOSOFIA,0210,412,https://www.dgae-siae.unam.mx/educacion/planes.php?plt=0210&crr=412&acc=pde
21013,LENGUA Y LITERATURAS HISPANICAS,FILOSOFIA,0210,414,https://www.dgae-siae.unam.mx/educacion/planes.php?plt=0210&crr=414&acc=pde
21025,PEDAGOGIA,FILOSOFIA,0210,421,https://www.dgae-siae.unam.mx/educacion/planes.php?plt=0210&crr=421&acc=pde
21121,INGENIERIA CIVIL,INGENIERIA,0211,107,https://www.dgae-siae.unam.mx/educacion/planes.php?plt=0211&crr=107&acc=pde
24022,MATEMATICAS APLICADAS Y COMPUTACION,COMPUTACION,0240,121,https://www.dgae-siae.unam.mx/educacion/planes.php?plt=0240&crr=121&acc=pde
,TECNICO,COMPUTACION,0240,501,https://www.dgae-siae.unam.mx/educacion/planes.php?plt=0240&crr=501&acc=pde
24121,ENSEÑANZA DE INGLES,C IDIOMAS,0241,408,https://www.dgae-siae.unam.mx/educacion/planes.php?plt=0241&crr=408&acc=pde
,ENSEÑANZA DE ALEMAN COMO LENGUA EXTRANJERA,LENGUA EXTRANJERA,0243,424,https://www.dgae-siae.unam.mx/educacion/planes.php?plt=0243&crr=424&acc=pde
,ENSEÑANZA DE ESPAÑOL COMO LENGUA EXTRANJERA,LENGUA EXTRANJERA,0243,425,https://www.dgae-siae.unam.mx/educacion/planes.php?plt=0243&crr=425&acc=pde
,ENSEÑANZA DE FRANCES COMO LENGUA EXTRANJERA,LENGUA EXTRANJERA,0243,426,https://www.dgae-siae.unam.mx/educacion/planes.php?plt=0243&crr=426&acc=pde
,ENSEÑANZA DE INGLES COMO LENGUA EXTRANJERA,LENGUA EXTRANJERA,0243,427,https://www.dgae-siae.unam.mx/educacion/planes.php?plt=0243&crr=427&acc=pde
,ENSEÑANZA DE ITALIANO COMO LENGUA EXTRANJERA,LENGUA EXTRANJERA,0243,428,https://www.dgae-siae.unam.mx/educacion/planes.php?plt=0243&crr=428&acc=pde
